RRID,Name,AKA,Species,Description,MAC Knockins/outs,MIC Knockins/outs,Gene of interest,Origin,Publications,Comments
TSC_SD01847,∆CnjB #6,,T. thermophila,"CnjB/cnjB[∆?::neo3] (cnjB[∆?::neo3]
CnjB:neo3, fully assorted; pm-r)","Part of CnjB coding replaced with neo3, completely assorted",Part of CnjB coding replaced with neo3,"cnjB (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_01091290\"">TTHERM_01091290</a>)",Janna Bednenko,"Bednenko J, Noto T, DeSouza LV, Siu KW, Pearlman RE, Mochizuki K, Gorovsky MA. 2009. Two GW repeat proteins interact with tetrahymena thermophila argonaute and promote genome rearrangement. Mol Cell Biol 29(18):5020-30.","somatic knock-outs of CnjB obtained by mating heterozygous CnjB KO heterokaryon with WT then assorted to complete KO in mac; mate with ∆CnjB #3<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01848,D5AB,,T. thermophila,"btu1-?[∆::neo1]/ btu1-?[∆::neo1]; btu2-?[∆::bsr1]/ btu2-?[∆::bsr1]; CHX1/CHX1; mpr1-1/mpr1-1 or MPR1/MPR1 (btu2-?[∆::bsr1]; btu1-?[∆::neo1]/ btu1-? [E437D,E438D,E439D,E440D,E442D]; ATU1/atu1-1[α-β hybrid tail, ATU-B]; pm-r, Original BTU2 is replaced by bsr1, BTU1 coding replaced by neo1, then transformed with pBTU1-D5 (D-DDDD) and Chimeric ATU1 gene, ATU-B (α-β hybrid ))","BTU2 replaced by bsr. BTU1 partially replaced by neo1, some replaced by BTU1-D5 with (E437-442D). Some ATU1 replaced by ATU1 with chimeric α-β hybrid tail.","knockout of btu1 with neo
knockout of btu2 with bsr","BTU1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00348510\"">TTHERM_00348510</a>), BTU2 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00836580\"">TTHERM_00836580</a>), ATU1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00558620\"">TTHERM_00558620</a>)",Jianming Duan,"Duan J and Gorovsky MA. 2002. Both carboxy-terminal tails of alpha- and beta-tubulin are essential, but either one will suffice. Curr Biol 12(4):313-6.

Xia L, Hai B, Gao Y, Burnette D, Thazhath R, Duan J, Bre MH, Levilliers N, Gorovsky MA, Gaertig J. 2000. Polyglycylation of tubulin is essential and affects cell motility and division in tetrahymena thermophila. J Cell Biol 149(5):1097-6.

Thazhath R, Jerka-Dziadosz M, Duan J, Wloga D, Gorovsky MA, Frankel J, Gaertig J. 2004. Cell context-specific effects of the beta-tubulin glycylation domain on assembly and size of microtubular organelles. Mol Biol Cell 15(9):4136-47.","Progeny of DB6B x DB2A, co- transformed by constructs pBTU1-D5 (D-DDDD) and Chimeric ATU1 gene, pATU-B (α-β hybrid). See publications<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01849,D6D7-2,,T. thermophila,"atu1-1[Δ::neo1]/atu1-1[Δ::neo1]; mpr1-1/mpr1-1 or MPR1/MPR1 (atu1-1[Δ::neo1]/atu1[E446D,E447D]; mp-?)","ATU1 with E446D,E447D and neo replacing coding of some ATU1 genes",neo replaces ATU1 coding,"ATU1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00558620\"">TTHERM_00558620</a>)",Bing Hai,"Hai B and Gorovsky MA. 1997. Germ-line knockout heterokaryons of an essential alpha-tubulin gene enable high-frequency gene replacement and a test of gene transfer from somatic to germ-line nuclei in tetrahymena thermophila. Proc Natl Acad Sci U S A 94(4):1310-5.

Xia L, Hai B, Gao Y, Burnette D, Thazhath R, Duan J, Bre MH, Levilliers N, Gorovsky MA, Gaertig J. 2000. Polyglycylation of tubulin is essential and affects cell motility and division in tetrahymena thermophila. J Cell Biol 149(5):1097-6.","It is a progeny of conjugants of AAK02.7XAAKO5.5 transformed with pD6D7-1 derived from pTUB100E3-PvuII (linearized) where the ATU1 gene is marked with Hae III and Pvu II sites and E446D,E447D.<br /><br />The strain was supposed to be pm-r, but the thawed line is pm-s.<br /><br />From the Gorovsky lab, University of Rochester. "
TSC_SD01850,DRH1 s ∆ C7-5D,,T. thermophila,"in CU427, chx1-1/chx1-1 (drh1[∆?::neo3]; DRH1 gene 5’ end of coding replaced with Neo3 ,pm-r up to 700ug/ml pm with Cd., VI)",Neo3 cassette replaces part of 5’ end of coding,,"DRH1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00190830\"">TTHERM_00190830</a>)",Jody Bowen,,"Somatic KO of DRH1 with neo3 KO2 construct. 5’ end of coding removed. Bad maters so not used<br />See Jody DRH1 logbook<br />Gene is expressed at low level in starve and log, peak expression at 4 hr of conjugation. Somatic KO is complete, when mated they arrest after Meiosis II. Homozygous homokaryons do not grow well.<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01851,DRH1 s ∆ C7-6G,,T. thermophila,"in CU427, chx1-1/chx1-1 (drh1[∆?::neo3]; DRH1 gene 5’ end of coding replaced with Neo3 ,pm-r up to 700ug/ml pm with Cd., VI)",Neo3 cassette replaces part of 5’ end of coding,,"DRH1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00190830\"">TTHERM_00190830</a>)",Jody Bowen,,"Somatic KO of DRH1 with neo3 KO2 construct. 5’ end of coding removed. Bad maters so not used<br />See Jody DRH1 logbook<br />Gene is expressed at low level in starve and log, peak expression at 4 hr of conjugation. Somatic KO is complete, when mated they arrest after Meiosis II. Homozygous homokaryons do not grow well.<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01852,g-H3.2+GFP-10,,T. thermophila,"hht2[3’neo2, GFPc] / hht2[3’neo2, GFPc] (none, VI)",,"c-terminal GFP tagged HHT2,with 3’ flanking neo2","HHT2 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00189180\"">TTHERM_00189180</a>)",Bowen Cui,"Cui B, Liu Y, Gorovsky MA. 2006. Deposition and function of histone H3 variants in tetrahymena thermophila. Mol Cell Biol 26(20):7719-30.","germline replace H3.2 with H3.2+GFP homozygous heterokaryon can be mated with g-H3.2+GFP-3 neo2 cassette in 3’ flank<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01853,g-H3.2+GFP-3,,T. thermophila,"hht2[3’neo2, GFPc] / hht2[3’neo2, GFPc] (none, VI)",,"c-terminal GFP tagged HHT2,with 3’flanking neo2","HHT2 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00189180\"">TTHERM_00189180</a>)",Bowen Cui,"Cui B, Liu Y, Gorovsky MA. 2006. Deposition and function of histone H3 variants in tetrahymena thermophila. Mol Cell Biol 26(20):7719-30.","germline replace H3.2 with H3.2+GFP homozygous heterokaryon can be mated with g-H3.2+GFP-10 neo2 cassette in 3’ flank<br /><br />From the Gorovsky lab, University of Rochester."
TSC_SD01854,g-H3.3+GFP/H3.2-14,,T. thermophila,"hht2[3’neo2,∆ (::HHT3,GFPc)]/hht2[3’neo2,∆,(::HHT2,GFPc)] ",,GFP tagged HHT3 into HHT2 locus,"HHT3 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00016170\"">TTHERM_00016170</a>), HHT2 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00189180\"">TTHERM_00189180</a>)",Bowen Cui,"Cui B, Liu Y, Gorovsky MA. 2006. Deposition and function of histone H3 variants in tetrahymena thermophila. Mol Cell Biol 26(20):7719-30.
","Homozygous heterokaryon, can be mated with g-H3.3+GFP/H3.2-6<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01855,g:H3.3+GFP-55-8*,,T. thermophila,"hht3[5’neo2,GFPc]/hht3[5’neo2,GFPc] (?)",,GFP tagged HHT3,"HHT3 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00016170\"">TTHERM_00016170</a>)",Bowen Cui,"Cui B, Liu Y, Gorovsky MA. 2006. Deposition and function of histone H3 variants in tetrahymena thermophila. Mol Cell Biol 26(20):7719-30.","star side of H3.3+GFP germline replacement heterokaryon<br /><br />From the Gorovsky lab, University of Rochester."
TSC_SD01857,H3.4-Flag-4,,T. thermophila,"mpr1-1/mpr1-1 (?HHT4/hht4[∆, HHT3, 5’neo2,FLAGc]; pm-r, VII)","N-terminalFlag tagged HHT3 put into HHT4 locus, not sure if complete replacement",,"HTT4 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00016200\"">TTHERM_00016200</a>), HHT3 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00016170\"">TTHERM_00016170</a>)",Bowen Cui,"Yu L and Gorovsky MA. 1997. Constitutive expression, not a particular primary sequence, is the important feature of the H3 replacement variant hv2 in tetrahymena thermophila. Mol Cell Biol 17(11):6303-10.

Cui B, Liu Y, Gorovsky MA. 2006. Deposition and function of histone H3 variants in tetrahymena thermophila. Mol Cell Biol 26(20):7719-30.","Mac transformant. Somatic replace HHT4 gene with HHT3-Flag sequence. Neo2 in 5’ flanking of HHT3<br /><br />From the Gorovsky lab, University of Rochester. "
TSC_SD01858,H3.4-Flag-5,,T. thermophila,? (pm-r),,,"HTT4 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00016200\"">TTHERM_00016200</a>)",Bowen Cui,,"Somatically replace HHT4 gene with HHT4-Flag sequence, neo 2 cassette is inserted in the 5’ flanking region of HHT4.<br /><br />She shot CU428xB2086 exconjugants so might be mater exconjugants or non-mater CU428 or B2086<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01860,∆H3.1/ 3.3 gl KO #23,,T. thermophila,"hht1[∆::neo2]/hht1[∆::neo2];hht3[∆::neo2]/hht3[∆::neo2] (mpr1-1; pm-s, mp-r, ?)",,Neo2 KO of HHT1 and HHT3,"HHT1 + HHT3 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00570560\"">TTHERM_00570560</a> + <a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00016170\"">TTHERM_00016170</a>)",Yifan Liu,"Cui B, Liu Y, Gorovsky MA. 2006. Deposition and function of histone H3 variants in tetrahymena thermophila. Mol Cell Biol 26(20):7719-30.","homozygous, Neo cassette knockout.<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01861,∆H3.3,,T. thermophila,"∆H3.3/∆H3.3, neo replace coding; homozygous heterokaryon
hht3[∆::neo2]/hht3[∆::neo2] (wt; pm-s, mp-r, ?)",,Neo3 KO of HHT3,"HHT3 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00016170\"">TTHERM_00016170</a>)",Yifan Liu,"Liu Y, Song X, Gorovsky MA, Karrer KM. 2005. Elimination of foreign DNA during somatic differentiation in tetrahymena thermophila shows position effect and is dosage dependent. Eukaryot Cell 4(2):421-31.

Liu Y. 2003. Genetic studies of RNA-mediated DNA elimination in the developing macronuclei of tetrahymena thermophila. University of Rochester.","∆H3.3 gl KO homozygous heterokaryon<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01862,"∆H3 all, gl KO #37",,T. thermophila,"hht1[∆::neo2]/hht1[∆::neo2]; hhf2,hht2[∆::neo2]/hhf2,hht2[∆::neo2]; hht3[∆::neo2]/hht3[∆::neo2] (mpr1-1; pm-s, mp-r, ?)",,Neo3 KO of major H3s and HHT3,"HHT (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00570560\"">TTHERM_00570560</a>, <a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00189180\"">TTHERM_00189180</a>, <a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00016170\"">TTHERM_00016170</a>)",Yifan Liu,"Cui B, Liu Y, Gorovsky MA. 2006. Deposition and function of histone H3 variants in tetrahymena thermophila. Mol Cell Biol 26(20):7719-30.

Liu Y, Song X, Gorovsky MA, Karrer KM. 2005. Elimination of foreign DNA during somatic differentiation in tetrahymena thermophila shows position effect and is dosage dependent. Eukaryot Cell 4(2):421-31.","homozygous, Neo cassette knockout before we knew there was HHT4<br /><br />From the Gorovsky lab, University of Rochester."
TSC_SD01863,"∆H3 all, gl KO #42",,T. thermophila,"hht1[∆::neo2]/hht1[∆::neo2]; hhf2,hht2[∆::neo2]/hhf2,hht2[∆::neo2]; hht3[∆::neo2]/hht3[∆::neo2] (mpr1-1; pm-s, mp-r, ?)",,Neo3 KO of major H3s and HHT3,"HHT (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00570560\"">TTHERM_00570560</a>, <a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00189180\"">TTHERM_00189180</a>, <a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00016170\"">TTHERM_00016170</a>)",Yifan Liu,"Cui B, Liu Y, Gorovsky MA. 2006. Deposition and function of histone H3 variants in tetrahymena thermophila. Mol Cell Biol 26(20):7719-30.

Liu Y, Song X, Gorovsky MA, Karrer KM. 2005. Elimination of foreign DNA during somatic differentiation in tetrahymena thermophila shows position effect and is dosage dependent. Eukaryot Cell 4(2):421-31.","homozygous, Neo cassette knockout before we knew there was HHT4<br /><br />From the Gorovsky lab, University of Rochester."
TSC_SD01864,"∆H3 all, gl KO #26",,T. thermophila,"hht1[∆::neo2]/hht1[∆::neo2]; hhf2,hht2[∆::neo2]/hhf2,hht2[∆::neo2]; hht3[∆::neo2]/hht3[∆::neo2] (mpr1-1; pm-s, mp-r, ?)",,Neo3 KO of major H3s and HHT3,"HHT (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00570560\"">TTHERM_00570560</a>, <a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00189180\"">TTHERM_00189180</a>, <a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00016170\"">TTHERM_00016170</a>)",Yifan Liu,"Cui B, Liu Y, Gorovsky MA. 2006. Deposition and function of histone H3 variants in tetrahymena thermophila. Mol Cell Biol 26(20):7719-30.

Liu Y, Song X, Gorovsky MA, Karrer KM. 2005. Elimination of foreign DNA during somatic differentiation in tetrahymena thermophila shows position effect and is dosage dependent. Eukaryot Cell 4(2):421-31.","homozygous, Neo cassette knockout before we knew there was HHT4<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01865,"∆H3 all, gl KO #28",,T. thermophila,"hht1[∆::neo2]/hht1[∆::neo2]; hhf2,hht2[∆::neo2]/hhf2,hht2[∆::neo2]; hht3[∆::neo2]/hht3[∆::neo2] (mpr1-1; pm-s, mp-r, ?)",,Neo3 KO of major H3s and HHT3,"HHT (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00570560\"">TTHERM_00570560</a>, <a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00189180\"">TTHERM_00189180</a>, <a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00016170\"">TTHERM_00016170</a>)",Yifan Liu,"Cui B, Liu Y, Gorovsky MA. 2006. Deposition and function of histone H3 variants in tetrahymena thermophila. Mol Cell Biol 26(20):7719-30.

Liu Y, Song X, Gorovsky MA, Karrer KM. 2005. Elimination of foreign DNA during somatic differentiation in tetrahymena thermophila shows position effect and is dosage dependent. Eukaryot Cell 4(2):421-31.","homozygous, Neo cassette knockout before we knew there was HHT4<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01866,"∆H3 all, gl KO #45",,T. thermophila,"hht1[∆::neo2]/hht1[∆::neo2]; hhf2,hht2[∆::neo2]/hhf2,hht2[∆::neo2]; hht3[∆::neo2]/hht3[∆::neo2] (mpr1-1; pm-s, mp-r, ?)",,Neo3 KO of major H3s and HHT3,"HHT (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00570560\"">TTHERM_00570560</a>, <a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00189180\"">TTHERM_00189180</a>, <a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00016170\"">TTHERM_00016170</a>)",Yifan Liu,"Cui B, Liu Y, Gorovsky MA. 2006. Deposition and function of histone H3 variants in tetrahymena thermophila. Mol Cell Biol 26(20):7719-30.

Liu Y, Song X, Gorovsky MA, Karrer KM. 2005. Elimination of foreign DNA during somatic differentiation in tetrahymena thermophila shows position effect and is dosage dependent. Eukaryot Cell 4(2):421-31.","homozygous, Neo cassette knockout before we knew there was HHT4<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01869,∆H3 gl 2.6,,T. thermophila,"hht1[∆::neo2]/hht1[∆::neo2]; hhf2,hht2[∆::neo2]/hhf2,hht2[∆::neo2]; mpr1-1/mpr1-1 (mpr1-1; pm-s, mp-r, ?)",,Neo2 KO of HHT1 and HHT2/HHF2,"HHT + HHF (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00570560\"">TTHERM_00570560</a>, <a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00189180\"">TTHERM_00189180</a>, <a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00189170\"">TTHERM_00189170</a>)",Yifan Liu,"Cui B, Liu Y, Gorovsky MA. 2006. Deposition and function of histone H3 variants in tetrahymena thermophila. Mol Cell Biol 26(20):7719-30.","This is the germline KO homozygous heterokaryon. Both copies of major histone H3 were removed. Also HHF2 and intergenic region connecting it to HHT2. KO with Neo cassette. The ∆H3 gl 2.* series have a different mating type from the ∆H3 gl 10.* series<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01870,∆H3 gl 2.5,,T. thermophila,"hht1[∆::neo2]/hht1[∆::neo2]; hhf2,hht2[∆::neo2]/hhf2,hht2[∆::neo2]; mpr1-1/mpr1-1 (mpr1-1; pm-s, mp-r, ?)",,Neo2 KO of HHT1 and HHT2/HHF2,"HHT + HHF (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00570560\"">TTHERM_00570560</a>, <a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00189180\"">TTHERM_00189180</a>, <a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00189170\"">TTHERM_00189170</a>)",Yifan Liu,"Cui B, Liu Y, Gorovsky MA. 2006. Deposition and function of histone H3 variants in tetrahymena thermophila. Mol Cell Biol 26(20):7719-30.","This is the germline KO homozygous heterokaryon. Both copies of major histone H3 were removed. Also HHF2 and intergenic region connecting it to HHT2. KO with Neo cassette. The ∆H3 gl 2.* series have a different mating type from the ∆H3 gl 10.* series<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01871,∆H3 gl 2.4,,T. thermophila,"hht1[∆::neo2]/hht1[∆::neo2]; hhf2,hht2[∆::neo2]/hhf2,hht2[∆::neo2]; mpr1-1/mpr1-1 (mpr1-1; pm-s, mp-r, ?)",,Neo2 KO of HHT1 and HHT2/HHF2,"HHT + HHF (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00570560\"">TTHERM_00570560</a>, <a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00189180\"">TTHERM_00189180</a>, <a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00189170\"">TTHERM_00189170</a>)",Yifan Liu,"Cui B, Liu Y, Gorovsky MA. 2006. Deposition and function of histone H3 variants in tetrahymena thermophila. Mol Cell Biol 26(20):7719-30.","This is the germline KO homozygous heterokaryon. Both copies of major histone H3 were removed. Also HHF2 and intergenic region connecting it to HHT2. KO with Neo cassette. The ∆H3 gl 2.* series have a different mating type from the ∆H3 gl 10.* series<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
